Date,Open,High,Low,Close,Prev_Close,Change,Percent_Change,Shares_Traded,Turnover_Cr,PE,PB,Div_Yield,VIX_Open,VIX_High,VIX_Low,VIX_Close,VIX_Prev_Close,VIX_Change,VIX_Percent_Change,Price_Turn,Direction,Near_Close,Near_Contracts,Near_TurnOver,Near_OI,Near_OI_Change,Next_Close,Next_Contracts,Next_TurnOver,Next_OI,Next_OI_Change,Far_Close,Far_Contracts,Far_TurnOver,Far_OI,Far_OI_Change,Week_Day,Week_Num,Trading_Days
01-Mar-2016,7038.25,7235.5,7035.1,7222.3,6987.05,235.25,3.37,283561570,9896.58,19.53,2.9,1.6,20.1575,20.1575,18.4025,18.6725,20.1575,-1.49,-7.37,0,1,7229.05,236798,1273066.1,18579675,527925,7255.2,5883,31779.98,1294200,104325,7269.1,3829,20806.29,433800,23550,Tue,W1,22
02-Mar-2016,7321.7,7380.35,7308.15,7368.85,7222.3,146.55,2.03,348965708,10983.06,19.93,2.96,1.57,18.6725,19.2,17.495,18.99,18.6725,0.32,1.7,0,1,7361.55,222864,1227269.34,19947525,1367850,7388.4,5666,31316.61,1399200,105000,7398.3,3147,17410.02,465000,31200,Wed,W1,22
03-Mar-2016,7429.55,7483.95,7406.05,7475.6,7368.85,106.75,1.45,287248532,9255.43,20.22,3,1.55,18.99,19.02,17.9075,18.04,18.99,-0.95,-5,0,1,7449.55,171087,951224.76,21324300,1376775,7475,8325,46490.47,1528125,128925,7489.45,4209,23601.43,430575,-34425,Thu,W1,22
04-Mar-2016,7505.4,7505.9,7444.1,7485.35,7475.6,9.75,0.13,290441230,8135.06,20.24,3.01,1.55,18.04,18.315,17.2,17.8825,18.04,-0.16,-0.87,1,3,7460.35,157476,878360.24,22223775,899475,7487.75,5484,30705.38,1641225,113100,7505.45,1277,7164.3,460425,29850,Fri,W2,22
08-Mar-2016,7486.4,7527.15,7442.15,7485.3,7485.35,-0.05,0,264945393,8417.86,20.2,3,1.55,17.8825,18.975,17.41,18.465,17.8825,0.58,3.26,0,3,7452.65,151479,847159.19,22998675,774900,7482.2,5585,31363.83,1749675,108450,7496.25,974,5475.5,486000,25575,Tue,W2,22
09-Mar-2016,7436.1,7539,7424.3,7531.8,7485.3,46.5,0.62,252709391,9036.29,20.33,3.02,1.54,18.465,18.675,17.315,17.505,18.465,-0.96,-5.2,0,3,7535.05,177661,996255.46,22585875,-412800,7567.25,6890,38826.9,1872750,123075,7579.55,1213,6838.16,521850,35850,Wed,W2,22
10-Mar-2016,7545.35,7547.1,7447.4,7486.15,7531.8,-45.65,-0.61,231584305,8875.92,20.2,3,1.55,17.505,18.24,16.2675,17.895,17.505,0.39,2.23,0,3,7483.7,182516,1023835.38,21783675,-802200,7523.75,7837,44138,1998000,125250,7540.1,2563,14468.43,649575,127725,Thu,W2,22
11-Mar-2016,7484.85,7543.95,7460.6,7510.2,7486.15,24.05,0.32,204806572,7558.55,20.27,3.01,1.54,17.895,17.895,16.0325,17.0975,17.895,-0.8,-4.46,0,3,7512.2,206282,1160802.82,22004925,221250,7548.75,7930,44841.45,2091075,93075,7569.45,1611,9135.58,674850,25275,Fri,W3,22
14-Mar-2016,7542.6,7583.7,7515.05,7538.75,7510.2,28.55,0.38,172067214,6330.45,20.35,3.02,1.54,17.0975,17.4,15.585,17.1025,17.0975,0.01,0.03,0,3,7546.85,144035,816610.51,21755325,-249600,7583.85,9883,56281.62,2276250,185175,7598.35,2837,16198.29,713400,38550,Mon,W3,22
15-Mar-2016,7535.85,7545.2,7452.8,7460.6,7538.75,-78.15,-1.04,199653871,7577.78,20.14,2.99,1.55,17.1025,17.84,15.23,17.5975,17.1025,0.5,2.89,0,3,7485.4,151477,852353.83,21594900,-160425,7523.95,8002,45249.94,2398350,122100,7545.8,1867,10591.26,759600,46200,Tue,W3,22
16-Mar-2016,7457.05,7508,7405.15,7498.75,7460.6,38.15,0.51,201430035,7102.59,20.24,3,1.55,17.5975,17.88,14.5975,17.115,17.5975,-0.48,-2.74,1,1,7527,189428,1063006.88,21717300,122400,7565.3,21950,123995.64,3421350,1023000,7587.35,1506,8516.92,792600,33000,Wed,W3,22
17-Mar-2016,7557.4,7585.3,7479.4,7512.55,7498.75,13.8,0.18,247043954,9539.89,20.28,3.01,1.54,17.115,17.275,15.5575,16.84,17.115,-0.28,-1.61,0,1,7512.75,201036,1140082.19,21488700,-228600,7553.15,12528,71481.39,3568200,146850,7576.8,5121,29315.72,912375,119775,Thu,W3,22
18-Mar-2016,7534.65,7613.6,7517.9,7604.35,7512.55,91.8,1.22,244727490,9971.59,20.52,3.05,1.52,16.84,16.8675,14.9,16.3825,16.84,-0.46,-2.72,0,1,7605.3,211934,1203630.46,22260225,771525,7645.45,14550,83123.45,3899325,331125,7658.95,3442,19718.87,997650,85275,Fri,W4,22
21-Mar-2016,7619.2,7713.55,7617.7,7704.25,7604.35,99.9,1.31,202853386,8381.51,20.79,3.09,1.5,16.3825,17.11,14.8325,16.3325,16.3825,-0.05,-0.31,0,1,7713.35,197326,1134887.88,21508425,-751800,7750.8,17047,98603.88,4290900,391575,7763.7,2315,13412.47,1075425,77775,Mon,W4,22
22-Mar-2016,7695.55,7728.2,7643.8,7714.9,7704.25,10.65,0.14,215355848,8628.05,20.82,3.09,1.5,16.3325,16.8625,13.695,16.43,16.3325,0.1,0.6,0,1,7726.25,182128,1051602.41,21095025,-413400,7768.1,23568,136819.35,4597050,306150,7782.8,1945,11309.17,1149300,73875,Tue,W4,22
23-Mar-2016,7717.45,7726.85,7670.6,7716.5,7714.9,1.6,0.02,205794773,7612.54,20.83,3.09,1.5,16.43,16.87,13.9475,16.345,16.43,-0.09,-0.52,0,1,7736.3,163852,947862.04,21734325,639300,7780.55,23655,137563.58,4903875,306825,7801.2,1724,10047.42,1191825,42525,Wed,W4,22
28-Mar-2016,7741,7749.4,7587.7,7615.1,7716.5,-101.4,-1.31,249905118,10102.36,20.55,3.05,1.52,16.345,18.57,15.1825,17.485,16.345,1.14,6.97,0,1,7638.6,201820,1161616.54,18747450,-2986875,7687.1,68408,396423.93,6575175,1671300,7718.65,4886,28337.25,1333950,142125,Mon,WX,22
29-Mar-2016,7606.55,7652.9,7582.25,7597,7615.1,-18.1,-0.24,223493457,10474.75,20.5,3.04,1.52,17.485,18.04,16.805,17.6375,17.485,0.15,0.87,0,1,7620.05,231504,1325374.87,16052700,-2694750,7666.4,114926,662065.11,11329050,4753875,7699.45,6436,37238.26,1414275,80325,Tue,WX,22
30-Mar-2016,7651.1,7741.95,7643.45,7735.2,7597,138.2,1.82,239843751,9908.6,20.88,3.1,1.49,17.6375,17.6375,16.57,16.8075,17.6375,-0.83,-4.71,0,1,7741,191813,1107680.21,14463975,-1588725,7783.35,96440,560329.76,14190675,2861625,7814.9,4822,28132.14,1467750,53475,Wed,WX,22
31-Mar-2016,7727.65,7777.6,7702,7738.4,7735.2,3.2,0.04,391914059,15918.74,20.89,3.1,1.49,16.8075,16.885,15.4975,16.5825,16.8075,-0.23,-1.34,1,2,7740.2,252912,1470441.76,12064350,-2399625,7784.4,175737,1026787.03,18868800,4678125,7811.55,8365,49033.22,1537875,70125,Thu,WX,22
01-Apr-2016,7718.05,7740.15,7666.1,7713.05,7738.4,-25.35,-0.33,189571551,8118.47,21.19,3.26,1.45,16.5825,17.895,16.2925,17.2775,16.5825,0.7,4.19,0,2,7748.75,182603,1059796.41,18512700,-356100,7776.2,10441,60795.73,1567200,29325,7793.4,917,5354.88,46950,46950,Fri,W1,17
04-Apr-2016,7733.15,7764.45,7704.4,7758.8,7713.05,45.75,0.59,160277940,6506.44,21.31,3.28,1.44,17.2775,18.1675,16.23,17.45,17.2775,0.17,1,0,2,7790.75,111189,648023.7,18772500,259800,7820.7,8523,49873.43,1526100,-41100,7833.8,1721,10089.06,156900,109950,Mon,W1,17
05-Apr-2016,7736.3,7736.3,7588.65,7603.2,7758.8,-155.6,-2.01,210126897,8412.34,20.88,3.21,1.47,17.45,18.0625,16.885,17.83,17.45,0.38,2.18,0,2,7623.5,262468,1512563.32,17846025,-926475,7657.7,8646,50027.94,1574025,47925,7668.5,1392,8055.38,196500,39600,Tue,W1,17
06-Apr-2016,7636.05,7638.65,7591.75,7614.35,7603.2,11.15,0.15,170653808,6802.69,20.91,3.22,1.47,17.83,17.9225,16.125,17.345,17.83,-0.49,-2.72,0,2,7634.7,136350,780361.28,17145300,-700725,7667.75,3244,18649.28,1578825,4800,7678.6,1099,6327.92,212775,16275,Wed,W1,17
07-Apr-2016,7630.4,7630.75,7535.85,7546.45,7614.35,-67.9,-0.89,241684050,7709.23,20.73,3.19,1.48,17.345,17.4225,16.335,16.935,17.345,-0.41,-2.36,0,2,7565.05,184929,1053098.22,15734700,-1410600,7599.3,4707,26921.34,1587225,8400,7608.9,1177,6737.71,237900,25125,Thu,W1,17
08-Apr-2016,7542.35,7569.35,7526.7,7555.2,7546.45,8.75,0.12,147816460,5981.23,20.75,3.19,1.48,16.935,16.935,15.1975,16.4325,16.935,-0.5,-2.97,0,2,7578.1,120237,683238.95,15691500,-43200,7611.85,4505,25717.68,1673925,86700,7619.15,1354,7736.58,279225,41325,Fri,W2,17
11-Apr-2016,7577.8,7678.8,7516.85,7671.4,7555.2,116.2,1.54,185353268,7055.61,21.07,3.24,1.45,16.4325,16.79,14.88,16.0125,16.4325,-0.42,-2.56,1,1,7702.1,209196,1196778.71,15376500,-315000,7735.3,6665,38320.76,1781400,107475,7745,1178,6779.88,296175,16950,Mon,W2,17
12-Apr-2016,7669.25,7717.4,7663.35,7708.95,7671.4,37.55,0.49,168508978,6945.44,21.17,3.26,1.45,16.0125,16.3025,14.6525,16.025,16.0125,0.01,0.08,0,1,7732.8,152533,882632.64,14869500,-507000,7764.6,5317,30899.16,1859775,78375,7773.75,2036,11843.58,364650,68475,Tue,W2,17
13-Apr-2016,7777.15,7864.8,7772.2,7850.45,7708.95,141.5,1.84,227217288,10071.44,21.56,3.32,1.42,16.025,16.12,13.55,16.035,16.025,0.01,0.06,0,1,7867.85,194633,1146722.11,16215450,1345950,7902.55,11057,65427.19,2204325,344550,7914.6,2417,14326.97,397350,32700,Wed,W2,17
18-Apr-2016,7908.15,7920.6,7842.75,7914.7,7850.45,64.25,0.82,190258561,10356.03,21.68,3.34,1.41,16.035,17.4175,14.14,16.9475,16.035,0.91,5.69,0,1,7920.3,156255,925232.68,15860400,-355050,7955.8,9025,53684.18,2407650,203325,7966.75,2420,14407.33,463125,65775,Mon,W3,17
20-Apr-2016,7950.05,7950.4,7877.55,7914.75,7914.7,0.05,0,211630060,10069.83,21.59,3.34,1.41,16.9475,17.52,15.4325,17.075,16.9475,0.13,0.75,0,1,7929.85,180999,1076185.25,16377450,517050,7969.9,15318,91508.28,2898900,491250,7982.4,2479,14835.71,501900,38775,Wed,W3,17
21-Apr-2016,7953.65,7978.45,7884.1,7912.05,7914.75,-2.7,-0.03,230577117,9613.3,21.59,3.34,1.41,17.075,17.075,15.6375,16.5125,17.075,-0.56,-3.29,1,3,7913.35,163044,970777.11,15971475,-405975,7951.75,16138,96584.41,3325200,426300,7966.45,1757,10525.17,541800,39900,Thu,W3,17
22-Apr-2016,7891.8,7923.35,7873.35,7899.3,7912.05,-12.75,-0.16,188988540,7714.04,21.55,3.29,1.36,16.5125,16.8575,15.335,16.38,16.5125,-0.13,-0.8,0,3,7911.15,130631,775225.64,15685800,-285675,7952.1,21035,125491.52,4065750,740550,7962.4,1968,11758.68,538800,-3000,Fri,WX,17
25-Apr-2016,7894.8,7911,7827,7855.05,7899.3,-44.25,-0.56,150776959,7362.13,21.4,3.27,1.37,16.38,17.03,16.1275,16.5725,16.38,0.19,1.18,0,3,7865,149169,879609.32,14005650,-1680150,7901.5,42874,254087.34,5803500,1737750,7915.65,2523,14965.92,598950,60150,Mon,WX,17
26-Apr-2016,7828.15,7974.5,7822.55,7962.65,7855.05,107.6,1.37,208656803,9686.21,21.6,3.32,1.35,16.5725,16.8175,15.6425,16.58,16.5725,0.01,0.05,0,3,7979.15,235865,1400625.02,11784000,-2221650,8017.2,124146,740057.99,11811975,6008475,8032,3235,19372.26,653100,54150,Tue,WX,17
27-Apr-2016,7942,7991,7940.55,7979.9,7962.65,17.25,0.22,213174058,9669.04,21.66,3.33,1.35,16.58,16.79,16.2275,16.3525,16.58,-0.23,-1.37,0,3,7990.35,134920,807323.26,9708750,-2075250,8029.95,83522,502205.61,15854025,4042050,8040.95,1957,11783.45,673800,20700,Wed,WX,17
28-Apr-2016,7967.4,7992,7834.45,7847.25,7979.9,-132.65,-1.66,301485186,14943.3,21.3,3.27,1.37,16.3525,16.77,15.3075,16.5975,16.3525,0.25,1.5,0,3,7853.45,242315,1439061.68,7405800,-2302950,7895.3,188734,1125014.54,20136450,4282425,7910.35,6453,38530.72,850125,176325,Thu,WX,17
29-Apr-2016,7844.25,7889.05,7788.7,7849.8,7847.25,2.55,0.03,251227047,9872.58,21.24,3.27,1.37,16.5975,17.24,15.63,16.5375,16.5975,-0.06,-0.36,0,3,7894.8,208110,1230525.26,20661825,525375,7907.6,6777,40123.66,991575,141450,7926.25,417,2474.45,10575,10575,Fri,W1,20
02-May-2016,7822.7,7829.8,7777.3,7805.9,7849.8,-43.9,-0.56,150818181,6079.16,21.25,3.25,1.38,16.5375,17.655,16.5375,17.0925,16.5375,0.56,3.36,0,3,7840.1,148514,872983.59,19812750,-849075,7853.5,5087,29948.6,1117875,126300,7875.4,376,2220.89,18375,7800,Mon,W1,20
03-May-2016,7824.8,7890.25,7735.15,7747,7805.9,-58.9,-0.75,192271370,8536.83,21.08,3.23,1.39,17.0925,18.0825,15.605,17.4625,17.0925,0.37,2.16,0,3,7783.8,245455,1445010.47,19795650,-17100,7796.7,8814,51973.76,1276725,158850,7818.9,624,3690.72,27000,8625,Tue,W1,20
04-May-2016,7724.15,7749,7697.25,7706.55,7747,-40.45,-0.52,205939089,7816.27,20.88,3.21,1.39,17.4625,17.7825,16.2675,17.445,17.4625,-0.02,-0.1,0,3,7732.75,163238,949483.81,19191900,-603750,7747.35,4830,28143.11,1310925,34200,7766.6,632,3691.76,32025,5025,Wed,W1,20
05-May-2016,7731,7777.55,7706.85,7735.5,7706.55,28.95,0.38,190792828,8089.45,20.96,3.22,1.39,17.445,17.48,15.7275,17.17,17.445,-0.28,-1.58,0,3,7773.1,186202,1084905.24,18252900,-939000,7786.9,4760,27785.4,1323375,12450,7808.25,561,3284.61,39075,7050,Thu,W1,20
06-May-2016,7717.65,7738.9,7678.35,7733.45,7735.5,-2.05,-0.03,168662226,6296.51,20.91,3.22,1.39,17.17,17.5025,16.055,16.9475,17.17,-0.22,-1.3,0,3,7760.25,145857,846292.44,17608650,-644250,7771.7,4737,27543.9,1353075,29700,7791.95,466,2715.43,49125,10050,Fri,W2,20
09-May-2016,7755.25,7873.65,7753.55,7866.05,7733.45,132.6,1.71,165616829,7559.77,21.24,3.28,1.37,16.9475,16.9475,15.2175,16.6125,16.9475,-0.34,-1.98,0,3,7904.3,202463,1194519.41,18218475,609825,7914.4,8192,48425.42,1496325,143250,7931.45,1124,6661.79,70800,21675,Mon,W2,20
10-May-2016,7873.55,7896.9,7837.7,7887.8,7866.05,21.75,0.28,166957276,7306.72,21.3,3.29,1.36,16.6125,17.185,15.0225,16.415,16.6125,-0.2,-1.19,0,3,7919.75,143307,849071.59,18483450,264975,7930.45,4704,27917.51,1515225,18900,7946.85,1057,6285.95,90150,19350,Tue,W2,20
11-May-2016,7804.65,7893.1,7780.9,7848.85,7887.8,-38.95,-0.49,220712496,9394.05,21.19,3.27,1.37,16.415,17.4625,15.5375,16.9625,16.415,0.55,3.34,0,3,7865.85,244803,1443150.56,16720350,-1763100,7878.45,7923,46781.81,1552725,37500,7895.8,1481,8769.17,114525,24375,Wed,W2,20
12-May-2016,7871.45,7916.05,7849.65,7900.4,7848.85,51.55,0.66,157444918,7171.91,21.33,3.29,1.36,16.9625,17.1675,15.96,16.3275,16.9625,-0.64,-3.74,0,3,7928.2,172530,1023469.26,17043975,323625,7939,6806,40440.77,1639650,86925,7951.4,1868,11124.69,152925,38400,Thu,W2,20
13-May-2016,7881,7881,7784.2,7814.9,7900.4,-85.5,-1.08,185061782,10152.08,21.1,3.26,1.38,16.3275,17.3675,14.195,16.9975,16.3275,0.67,4.1,0,3,7830.55,211856,1244215,16286400,-757575,7842.9,7823,46018.21,1752075,112425,7861.95,1483,8743.96,162975,10050,Fri,W3,20
16-May-2016,7831.2,7873.9,7772.15,7860.75,7814.9,45.85,0.59,211547775,7790.24,21.54,3.28,1.37,16.9975,17.77,16.1675,17.0325,16.9975,0.04,0.21,0,3,7887.2,186817,1098097.75,16198875,-87525,7896.65,8738,51456.14,1846050,93975,7912.75,1367,8054.44,183525,20550,Mon,W3,20
17-May-2016,7896.85,7940.1,7879.7,7890.75,7860.75,30,0.38,189140810,8195.95,21.62,3.29,1.36,17.0325,17.0325,15.735,16.3725,17.0325,-0.66,-3.87,0,3,7907.6,153461,911962.83,16604025,405150,7917.1,9894,58879.2,2016600,170550,7932.75,1530,9120.46,189300,5775,Tue,W3,20
18-May-2016,7846.75,7882.05,7810.75,7870.15,7890.75,-20.6,-0.26,161169418,7333.13,21.57,3.28,1.37,16.3725,16.97,15.99,16.455,16.3725,0.08,0.5,0,3,7879.3,196154,1155195.97,16091700,-512325,7889.4,21119,124471.36,2701125,684525,7905.1,1366,8071.85,199950,10650,Wed,W3,20
19-May-2016,7875.5,7876.2,7766.8,7783.4,7870.15,-86.75,-1.1,175711829,7163.38,21.33,3.24,1.38,16.455,17.4175,15.4175,17.0625,16.455,0.61,3.69,0,3,7785.1,193420,1134820.93,16499400,407700,7794.65,19128,112225.19,3194925,493800,7811.9,1344,7910.03,210000,10050,Thu,W3,20
20-May-2016,7792.2,7812.4,7735.75,7749.7,7783.4,-33.7,-0.43,161889432,6798.89,21.19,3.22,1.39,17.0625,17.0625,14.9825,16.425,17.0625,-0.64,-3.74,0,3,7763.35,162319,948705.15,15625950,-873450,7767.95,19212,112348.42,3652125,457200,7788.65,1408,8253.76,225000,15000,Fri,WX,20
23-May-2016,7813.95,7820.6,7722.2,7731.05,7749.7,-18.65,-0.24,177347948,7141.74,21.13,3.22,1.39,16.425,16.5525,15.1825,16.16,16.425,-0.27,-1.61,0,3,7744.85,192597,1122967.64,14619975,-1005975,7750.9,66088,385442.39,6473400,2821275,7770.35,1837,10741.7,261150,36150,Mon,WX,20
24-May-2016,7738.05,7761.55,7715.8,7748.85,7731.05,17.8,0.23,151538169,6119.23,21.16,3.22,1.39,16.16,16.8875,15.6875,16.22,16.16,0.06,0.37,1,1,7759.3,151066,877531.12,13667175,-952800,7762.1,63957,371685.19,8654850,2181450,7785,1296,7551.56,294075,32925,Tue,WX,20
25-May-2016,7811.8,7941.2,7809.3,7934.9,7748.85,186.05,2.4,181636649,8202.39,22.07,3.3,1.36,16.22,16.22,14.5475,15.52,16.22,-0.7,-4.32,0,1,7943,254189,1503533.13,11506050,-2161125,7953.95,165611,981097.65,14885400,6230550,7964.65,6137,36485.83,502650,208575,Wed,WX,20
26-May-2016,7974.45,8083,7948.5,8069.65,7934.9,134.75,1.7,272456307,12422,22.39,3.36,1.33,15.52,15.52,14.4675,15.325,15.52,-0.2,-1.26,0,1,8062.65,208309,1251699.78,7607175,-3898875,8069.65,169213,1018301.48,19485675,4600275,8084.5,8088,48697.93,899625,396975,Thu,WX,20
27-May-2016,8081.95,8164.2,8077.05,8156.65,8069.65,87,1.08,268963949,10607.22,22.66,3.4,1.32,15.325,15.8575,14.9375,15.26,15.325,-0.07,-0.42,0,1,8172.45,182486,1114798.27,20937900,1452225,8192,6042,36977.88,1038750,139125,8220.6,854,5248.17,39525,39525,Fri,W1,25
30-May-2016,8166.5,8200,8150.8,8178.5,8156.65,21.85,0.27,255086293,9199.38,22.69,3.41,1.31,15.26,16.4425,14.77,15.975,15.26,0.72,4.69,0,1,8194.3,115182,708086.71,21695850,757950,8214.65,3902,24042.8,1095225,56475,8249.4,1320,8167.69,90075,50550,Mon,W1,25
31-May-2016,8209.85,8213.6,8134.3,8160.1,8178.5,-18.4,-0.22,485645737,21491.53,22.6,3.4,1.32,15.975,16.3625,14.3025,16.045,15.975,0.07,0.44,1,3,8190.9,144169,885398.28,21630150,-65700,8211.5,4787,29469.72,1209000,113775,8244.5,553,3418.13,105300,15225,Tue,W1,25
01-Jun-2016,8179.2,8215.35,8171.05,8179.95,8160.1,19.85,0.24,200371829,8408.53,22.65,3.41,1.31,16.045,16.0975,14.72,15.835,16.045,-0.21,-1.31,0,3,8194.55,125472,771709.05,21499350,-130800,8215.1,5423,33440.64,1355925,146925,8249.15,556,3443.44,117075,11775,Wed,W1,25
02-Jun-2016,8156.9,8229.5,8154.75,8218.95,8179.95,39,0.48,187316365,8389.69,22.76,3.43,1.31,15.835,15.9375,14.96,15.0875,15.835,-0.75,-4.72,0,3,8243.25,138830,854011.71,21519600,20250,8263.6,4405,27167.76,1473600,117675,8297.25,900,5582.42,136350,19275,Thu,W1,25
03-Jun-2016,8246.2,8262,8209.85,8220.8,8218.95,1.85,0.02,390652017,10762.52,22.77,3.43,1.31,15.0875,15.3925,14.0475,14.995,15.0875,-0.09,-0.61,0,3,8238.9,111882,692368.87,21192750,-326850,8260.65,4726,29328.27,1622700,149100,8293.5,419,2611.43,141225,4875,Fri,W2,25
06-Jun-2016,8228.75,8234.7,8186.05,8201.05,8220.8,-19.75,-0.24,176885226,7657.92,22.71,3.42,1.31,14.995,15.535,14.1175,15.355,14.995,0.36,2.4,0,3,8229.8,87388,539778.34,20991825,-200925,8255.55,2211,13697.3,1642200,19500,8290.95,417,2593.93,145050,3825,Mon,W2,25
07-Jun-2016,8235.55,8294.95,8216.4,8266.45,8201.05,65.4,0.8,249365706,10462.49,22.69,3.44,1.3,15.355,15.355,14.4025,14.87,15.355,-0.49,-3.16,0,3,8283.15,152776,948497.06,21656100,664275,8309.1,4827,30063.31,1674675,32475,8346.4,1284,8039.29,182250,37200,Tue,W2,25
08-Jun-2016,8285.5,8288.9,8252.05,8273.05,8266.45,6.6,0.08,179710369,7614.02,22.71,3.45,1.3,14.87,15.2875,13.315,15.1425,14.87,0.27,1.83,0,3,8284.2,85867,533368.18,21498000,-158100,8308.95,2685,16725.75,1698150,23475,8345.25,294,1839.91,184350,2100,Wed,W2,25
09-Jun-2016,8273.35,8273.35,8184.6,8203.6,8273.05,-69.45,-0.84,180293039,7973.1,22.52,3.42,1.31,15.1425,15.8325,13.975,15.6725,15.1425,0.53,3.5,0,3,8229.35,139553,862063.03,21503550,5550,8256.75,6032,37380.55,1663275,-34875,8296.1,799,4976.4,197325,12975,Thu,W2,25
